Dependency Taxonomy,Configuration Parameter A,Configuration Parameter B,Class,Function
Control Dependency,hbase.data.umask.enable,mapreduce.application.framework.path,org.apache.hadoop.hbase.regionserver.HRegionFileSystem,"<org.apache.hadoop.hbase.regionserver.HRegionFileSystem: boolean mkdirs(org.apache.hadoop.fs.FileSystem,org.apache.hadoop.conf.Configuration,org.apache.hadoop.fs.Path)>"
Control Dependency,dfs.namenode.servicerpc-address,hbase.regionserver.info.port,org.apache.hadoop.hbase.master.HMaster,<org.apache.hadoop.hbase.master.HMaster: int getRegionServerInfoPort(org.apache.hadoop.hbase.ServerName)>
Control Dependency,hadoop.security.authentication,hbase.security.authentication,org.apache.hadoop.hbase.regionserver.SecureBulkLoadManager,<org.apache.hadoop.hbase.regionserver.SecureBulkLoadManager: org.apache.hadoop.hbase.security.User getActiveUser()>
Control Dependency,fs.defaultFS,hbase.data.umask.enable,org.apache.hadoop.hbase.regionserver.HRegionFileSystem,"<org.apache.hadoop.hbase.regionserver.HRegionFileSystem: boolean mkdirs(org.apache.hadoop.fs.FileSystem,org.apache.hadoop.conf.Configuration,org.apache.hadoop.fs.Path)>"
Control Dependency,dfs.client.read.shortcircuit.buffer.size,hbase.dfs.client.read.shortcircuit.buffer.size,org.apache.hadoop.hbase.util.CommonFSUtils,<org.apache.hadoop.hbase.util.CommonFSUtils: void checkShortCircuitReadBufferSize(org.apache.hadoop.conf.Configuration)>
Control Dependency,spark.executor.id,spark.driver.port,org.apache.spark.util.RpcUtils$,"<org.apache.spark.util.RpcUtils$: org.apache.spark.rpc.RpcEndpointRef makeDriverRef(java.lang.String,org.apache.spark.SparkConf,org.apache.spark.rpc.RpcEnv)>"
Control Dependency,spark.executor.id,spark.driver.host,org.apache.spark.util.RpcUtils$,"<org.apache.spark.util.RpcUtils$: org.apache.spark.rpc.RpcEndpointRef makeDriverRef(java.lang.String,org.apache.spark.SparkConf,org.apache.spark.rpc.RpcEnv)>"
Control Dependency,spark.deploy.recoveryMode,spark.deploy.recoveryMode.factory,org.apache.spark.deploy.master.Master,<org.apache.spark.deploy.master.Master: void onStart()>
Control Dependency,spark.authenticate,spark.master,org.apache.spark.SecurityManager,<org.apache.spark.SecurityManager: void initializeAuth()>
Control Dependency,alluxio.worker.data.folder,alluxio.PropertyKey,alluxio.util.io.PathUtils,<alluxio.util.io.PathUtils: java.lang.String getWorkerDataDirectory(java.lang.String)>
Control Dependency,hadoop.security.crypto.cipher.suite,mapreduce.job.encrypted-intermediate-data,org.apache.hadoop.crypto.CryptoCodec,<org.apache.hadoop.crypto.CryptoCodec: org.apache.hadoop.crypto.CryptoCodec getInstance(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.job.emit-timeline-data,yarn.timeline-service.enabled,org.apache.hadoop.yarn.conf.YarnConfiguration,<org.apache.hadoop.yarn.conf.YarnConfiguration: boolean timelineServiceEnabled(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.fileoutputcommitter.algorithm.version,spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version,*,*
Control Dependency,mapred.reducer.class,mapreduce.job.reduces,org.apache.hadoop.mapreduce.Job,<org.apache.hadoop.mapreduce.Job: void setUseNewAPI()>
Control Dependency,mapreduce.job.sharedcache.mode,yarn.sharedcache.enabled,org.apache.hadoop.mapreduce.SharedCacheConfig,<org.apache.hadoop.mapreduce.SharedCacheConfig: void init(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.framework.name,yarn.sharedcache.enabled,org.apache.hadoop.mapreduce.SharedCacheConfig,<org.apache.hadoop.mapreduce.SharedCacheConfig: void init(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.job.shuffle.provider.services,yarn.nodemanager.aux-services,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,"<org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: void addExternalShuffleProviders(org.apache.hadoop.conf.Configuration,java.util.Map)>"
